Three-Digit ZIP Code,Year,Quarter,Index (NSA),Index Type,,,
010,1995,1,100.00,Native 3-Digit ZIP index,,,
010,1995,2,101.59,Native 3-Digit ZIP index,,,
010,1995,3,103.81,Native 3-Digit ZIP index,,,
010,1995,4,103.75,Native 3-Digit ZIP index,,,
010,1996,1,104.99,Native 3-Digit ZIP index,,,
010,1996,2,103.74,Native 3-Digit ZIP index,,,
010,1996,3,102.97,Native 3-Digit ZIP index,,,
010,1996,4,103.69,Native 3-Digit ZIP index,,,
010,1997,1,104.23,Native 3-Digit ZIP index,,,
010,1997,2,104.94,Native 3-Digit ZIP index,,,
010,1997,3,105.54,Native 3-Digit ZIP index,,,
010,1997,4,106.67,Native 3-Digit ZIP index,,,
010,1998,1,107.91,Native 3-Digit ZIP index,,,
010,1998,2,108.77,Native 3-Digit ZIP index,,,
010,1998,3,109.29,Native 3-Digit ZIP index,,,
010,1998,4,110.57,Native 3-Digit ZIP index,,,
010,1999,1,110.98,Native 3-Digit ZIP index,,,
010,1999,2,112.18,Native 3-Digit ZIP index,,,
010,1999,3,115.04,Native 3-Digit ZIP index,,,
010,1999,4,114.72,Native 3-Digit ZIP index,,,
010,2000,1,117.37,Native 3-Digit ZIP index,,,
010,2000,2,117.89,Native 3-Digit ZIP index,,,
010,2000,3,119.93,Native 3-Digit ZIP index,,,
010,2000,4,121.54,Native 3-Digit ZIP index,,,
010,2001,1,124.88,Native 3-Digit ZIP index,,,
010,2001,2,126.99,Native 3-Digit ZIP index,,,
010,2001,3,130.27,Native 3-Digit ZIP index,,,
010,2001,4,131.18,Native 3-Digit ZIP index,,,
010,2002,1,134.42,Native 3-Digit ZIP index,,,
010,2002,2,138.16,Native 3-Digit ZIP index,,,
010,2002,3,142.49,Native 3-Digit ZIP index,,,
010,2002,4,145.16,Native 3-Digit ZIP index,,,
010,2003,1,147.60,Native 3-Digit ZIP index,,,
010,2003,2,150.32,Native 3-Digit ZIP index,,,
010,2003,3,154.41,Native 3-Digit ZIP index,,,
010,2003,4,161.36,Native 3-Digit ZIP index,,,
010,2004,1,163.91,Native 3-Digit ZIP index,,,
010,2004,2,169.51,Native 3-Digit ZIP index,,,
010,2004,3,177.73,Native 3-Digit ZIP index,,,
010,2004,4,182.95,Native 3-Digit ZIP index,,,
010,2005,1,187.85,Native 3-Digit ZIP index,,,
010,2005,2,193.95,Native 3-Digit ZIP index,,,
010,2005,3,199.23,Native 3-Digit ZIP index,,,
010,2005,4,202.43,Native 3-Digit ZIP index,,,
010,2006,1,204.38,Native 3-Digit ZIP index,,,
010,2006,2,204.74,Native 3-Digit ZIP index,,,
010,2006,3,203.63,Native 3-Digit ZIP index,,,
010,2006,4,207.03,Native 3-Digit ZIP index,,,
010,2007,1,208.06,Native 3-Digit ZIP index,,,
010,2007,2,207.56,Native 3-Digit ZIP index,,,
010,2007,3,206.01,Native 3-Digit ZIP index,,,
010,2007,4,207.49,Native 3-Digit ZIP index,,,
010,2008,1,206.69,Native 3-Digit ZIP index,,,
010,2008,2,202.04,Native 3-Digit ZIP index,,,
010,2008,3,195.18,Native 3-Digit ZIP index,,,
010,2008,4,196.29,Native 3-Digit ZIP index,,,
010,2009,1,198.66,Native 3-Digit ZIP index,,,
010,2009,2,193.62,Native 3-Digit ZIP index,,,
010,2009,3,191.37,Native 3-Digit ZIP index,,,
010,2009,4,192.29,Native 3-Digit ZIP index,,,
010,2010,1,191.15,Native 3-Digit ZIP index,,,
010,2010,2,188.80,Native 3-Digit ZIP index,,,
010,2010,3,191.12,Native 3-Digit ZIP index,,,
010,2010,4,190.59,Native 3-Digit ZIP index,,,
010,2011,1,187.29,Native 3-Digit ZIP index,,,
010,2011,2,185.55,Native 3-Digit ZIP index,,,
